backend,mode,trial,decode_wall_ms,decode_model_ms,prefill_wall_p95_ms,scheduler_iterations,prefill_chunks,effective_chunk,iteration_ewma_ms
cpu,greedy,1,12438.83939999796,12124.24,10708.672999997361,128.0,5.0,0.0,13.865
cpu,greedy,2,12485.563199999888,12196.42,10750.050500002544,128.0,5.0,0.0,13.1093
cpu,greedy,3,12568.220100001781,12259.233,10805.549300002895,128.0,5.0,0.0,13.947
cpu,fixed64,1,13548.432200001116,12615.858,11956.865100000869,129.0,50.0,64.0,13.3697
cpu,fixed64,2,13471.841999999015,12544.049,11886.903599999641,129.0,50.0,64.0,14.7871
cpu,fixed64,3,13436.294899998757,12495.616,11870.185899999342,129.0,50.0,64.0,13.2081
cpu,fixed256,1,13085.139100003289,12777.708,11329.760699998587,128.0,13.0,256.0,13.5892
cpu,fixed256,2,13020.095799998671,12725.934,11311.846600001445,128.0,13.0,256.0,13.6229
cpu,fixed256,3,13106.436899997789,12812.93,11353.363799997169,128.0,13.0,256.0,13.6026
cpu,adaptive,1,13179.550000000745,12885.639,11482.432400000107,128.0,16.0,31.0,13.2824
cpu,adaptive,2,13126.959700002772,12832.021,11405.03379999791,128.0,16.0,31.0,13.7571
cpu,adaptive,3,13113.499900002353,12818.431,11414.92940000171,128.0,16.0,31.0,14.0111
cuda,greedy,1,639.7799000005762,601.971,177.91039999792702,128.0,4.0,0.0,3.30397
cuda,greedy,2,636.003300001903,613.821,188.4451000005356,128.0,5.0,0.0,3.21167
cuda,greedy,3,640.0039000000106,617.008,189.11669999943115,128.0,5.0,0.0,3.35323
cuda,fixed64,1,765.9445000026608,719.774,353.08830000212765,129.0,50.0,64.0,3.29098
cuda,fixed64,2,739.8613999976078,710.086,344.7807999982615,129.0,50.0,64.0,3.28575
cuda,fixed64,3,718.4963999970932,690.645,306.10279999746126,129.0,50.0,64.0,3.39831
cuda,fixed256,1,651.7649999987043,630.224,210.65399999861256,128.0,13.0,256.0,3.4203
cuda,fixed256,2,666.2934999985737,627.518,213.971400000446,128.0,13.0,256.0,3.23681
cuda,fixed256,3,644.4454000011319,621.087,210.12269999846467,128.0,13.0,256.0,3.25165
cuda,adaptive,1,677.1402999984275,653.057,216.26779999860446,128.0,13.0,72.0,3.43158
cuda,adaptive,2,712.9365000000689,688.653,262.16109999950277,128.0,17.0,144.0,3.40415
cuda,adaptive,3,692.5607999983185,670.535,244.80319999929634,128.0,18.0,80.0,3.45391
