backend,mode,trial,wall_ms,decode_ms,decode_tokens,draft_tokens,accepted_tokens,acceptance_ratio,adaptive_draft_length,output_sha256
cpu,none,1,3964.3187999972724,1432.297,96,0.0,0.0,0.0,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cpu,fixed,1,3344.766800000798,796.073,96,82.0,70.0,0.853659,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cpu,adaptive,1,3294.0730000045733,735.823,96,72.0,70.0,0.972222,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cpu,none,2,3922.711300001538,1374.442,96,0.0,0.0,0.0,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cpu,fixed,2,3342.0967999991262,767.675,96,82.0,70.0,0.853659,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cpu,adaptive,2,3294.691800001601,720.392,96,72.0,70.0,0.972222,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cpu,none,3,4065.3512999997474,1452.018,96,0.0,0.0,0.0,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cpu,fixed,3,3351.085599999351,783.699,96,82.0,70.0,0.853659,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cpu,adaptive,3,3281.393700002809,719.834,96,72.0,70.0,0.972222,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,none,1,420.0237999975798,347.19,96,0.0,0.0,0.0,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,fixed,1,205.84420000523096,149.936,96,82.0,70.0,0.853659,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,adaptive,1,198.8781999971252,142.346,96,72.0,70.0,0.972222,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,none,2,414.17299999739043,343.99,96,0.0,0.0,0.0,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,fixed,2,212.37619999737944,156.195,96,82.0,70.0,0.853659,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,adaptive,2,209.83329999580747,140.469,96,72.0,70.0,0.972222,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,none,3,414.0867999958573,344.484,96,0.0,0.0,0.0,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,fixed,3,215.78500000032363,161.178,96,82.0,70.0,0.853659,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
cuda,adaptive,3,217.973400001938,140.0,96,72.0,70.0,0.972222,3.0,8b416ad5fec5fff70a3bc4742e2f766ffe020cbe1bd2c0c2eb6c882fbcb53b3f
