captured_at_utc,case,model_key,quantization,test,execution,gpu_layers_requested,threads_requested,gpu_memory_baseline_mib,gpu_memory_peak_mib,gpu_memory_increment_mib,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts,samples_ns,samples_ts
2026-07-31T13:06:43.509542+00:00,gpu-quantization,q4_k_m,Q4_K_M,pp256,CUDA,-1,12,0.0,619.0,619.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-q4_k_m.gguf,qwen2 1B Q4_K - Medium,485452288,630167424,2048,512,12,0x0,False,50,f16,f16,-1,0,layer,0,False,-1,auto,0.00,none,True,False,False,0,False,0,0,256,0,0,2026-07-31T13:06:44Z,16824433,2466709,15419.737878,2084.816583,"[19672000, 15456900, 15344400]","[13013.4, 16562.2, 16683.6]"
2026-07-31T13:06:43.509542+00:00,gpu-quantization,q4_k_m,Q4_K_M,tg64,CUDA,-1,12,0.0,619.0,619.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-q4_k_m.gguf,qwen2 1B Q4_K - Medium,485452288,630167424,2048,512,12,0x0,False,50,f16,f16,-1,0,layer,0,False,-1,auto,0.00,none,True,False,False,0,False,0,0,0,64,0,2026-07-31T13:06:44Z,209276166,9114644,306.193736,13.009553,"[219797500, 203786400, 204244600]","[291.177, 314.054, 313.35]"
2026-07-31T13:06:43.509542+00:00,gpu-quantization,q8_0,Q8_0,pp256,CUDA,-1,12,0.0,747.0,747.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-q8_0.gguf,qwen2 1B Q8_0,669763072,630167424,2048,512,12,0x0,False,50,f16,f16,-1,0,layer,0,False,-1,auto,0.00,none,True,False,False,0,False,0,0,256,0,0,2026-07-31T13:06:46Z,14950500,2712591,17470.933295,2875.690866,"[18076800, 13220500, 13554200]","[14161.8, 19363.9, 18887.1]"
2026-07-31T13:06:43.509542+00:00,gpu-quantization,q8_0,Q8_0,tg64,CUDA,-1,12,0.0,747.0,747.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-q8_0.gguf,qwen2 1B Q8_0,669763072,630167424,2048,512,12,0x0,False,50,f16,f16,-1,0,layer,0,False,-1,auto,0.00,none,True,False,False,0,False,0,0,0,64,0,2026-07-31T13:06:46Z,247360466,6531555,258.85116,6.785468,"[254443200, 246063400, 241574800]","[251.53, 260.096, 264.928]"
2026-07-31T13:06:43.509542+00:00,gpu-quantization,fp16,F16,pp256,CUDA,-1,12,0.0,1201.0,1201.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-fp16.gguf,qwen2 1B F16,1260477952,630167424,2048,512,12,0x0,False,50,f16,f16,-1,0,layer,0,False,-1,auto,0.00,none,True,False,False,0,False,0,0,256,0,0,2026-07-31T13:06:49Z,21173600,6616654,12797.552855,3395.047092,"[28807200, 17080700, 17632900]","[8886.67, 14987.7, 14518.3]"
2026-07-31T13:06:43.509542+00:00,gpu-quantization,fp16,F16,tg64,CUDA,-1,12,0.0,1201.0,1201.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-fp16.gguf,qwen2 1B F16,1260477952,630167424,2048,512,12,0x0,False,50,f16,f16,-1,0,layer,0,False,-1,auto,0.00,none,True,False,False,0,False,0,0,0,64,0,2026-07-31T13:06:49Z,431872700,3151495,148.197097,1.08531,"[434248400, 428297600, 433072100]","[147.381, 149.429, 147.781]"
2026-07-31T13:06:43.509542+00:00,cpu-thread-6,q4_k_m,Q4_K_M,pp256,CPU-only,0,6,0.0,431.0,431.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-q4_k_m.gguf,qwen2 1B Q4_K - Medium,485452288,630167424,2048,512,6,0x0,False,50,f16,f16,0,0,layer,0,False,0,auto,0.00,none,True,False,False,0,False,0,0,256,0,0,2026-07-31T13:06:52Z,88009100,21206520,3011.547563,640.100032,"[112426100, 74196200, 77405000]","[2277.05, 3450.31, 3307.28]"
2026-07-31T13:06:43.509542+00:00,cpu-thread-6,q4_k_m,Q4_K_M,tg64,CPU-only,0,6,0.0,431.0,431.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-q4_k_m.gguf,qwen2 1B Q4_K - Medium,485452288,630167424,2048,512,6,0x0,False,50,f16,f16,0,0,layer,0,False,0,auto,0.00,none,True,False,False,0,False,0,0,0,64,0,2026-07-31T13:06:52Z,1207124566,48516407,53.074766,2.098129,"[1168066800, 1261434300, 1191872600]","[54.7914, 50.7359, 53.697]"
2026-07-31T13:06:43.509542+00:00,cpu-thread-12,q4_k_m,Q4_K_M,pp256,CPU-only,0,12,0.0,431.0,431.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-q4_k_m.gguf,qwen2 1B Q4_K - Medium,485452288,630167424,2048,512,12,0x0,False,50,f16,f16,0,0,layer,0,False,0,auto,0.00,none,True,False,False,0,False,0,0,256,0,0,2026-07-31T13:06:57Z,94372100,14623131,2754.454539,405.541728,"[110601500, 90293600, 82221200]","[2314.62, 2835.2, 3113.55]"
2026-07-31T13:06:43.509542+00:00,cpu-thread-12,q4_k_m,Q4_K_M,tg64,CPU-only,0,12,0.0,431.0,431.0,acd79d603,9632,13th Gen Intel(R) Core(TM) i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,CUDA,D:\llama\models\qwen2.5-0.5b-instruct-q4_k_m.gguf,qwen2 1B Q4_K - Medium,485452288,630167424,2048,512,12,0x0,False,50,f16,f16,0,0,layer,0,False,0,auto,0.00,none,True,False,False,0,False,0,0,0,64,0,2026-07-31T13:06:58Z,1402776233,125835594,45.865094,4.039222,"[1537858300, 1381594900, 1288875500]","[41.6163, 46.3233, 49.6557]"
