backend,mode,trials,objective_median_ms,ttft_p95_ms,burst_median_ms,cacheflow_decisions,exploration_decisions,positive_lower_bound_decisions,benefit_choose_samples,benefit_choose_p99_us,benefit_choose_duration_us_sum,benefit_choose_histogram_json,exact_hash_match_ratio,paired_upstream_regression_ratio,performance_status
cpu,upstream,16,5594.37614999888,3766.9342562503516,7876.102950000131,0.0,0.0,0.0,0.0,0.0,0.0,raw_trials,0.6666666666666666,,
cpu,always,16,4148.193987500235,2061.647331250697,8798.005199998443,434.0,0.0,0.0,434.0,5.0,103.2,raw_trials,0.6666666666666666,,
cpu,rule,16,4221.843062501648,2467.7499000006264,8068.56660000085,52.0,0.0,0.0,144.0,2.0,46.9,raw_trials,0.6666666666666666,,
cpu,learned,16,4205.206800000269,2547.685281249187,8031.859149999946,43.0,43.0,0.0,139.0,2.0,68.4,raw_trials,0.6666666666666666,-0.23801345899241372,non_regressed
cpu,oracle,16,4113.935512500575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,
cuda,upstream,16,267.61684999883073,151.0444375012412,563.3821499977785,0.0,0.0,0.0,143.0,2.0,30.2,raw_trials,0.75,,
cuda,always,16,277.8054499995051,132.1283124996171,679.1407000000618,334.0,0.0,0.0,334.0,2.0,63.0,raw_trials,0.75,,
cuda,rule,16,264.3126499974642,123.4485562501959,693.2128500011459,66.0,0.0,0.0,185.0,2.0,39.8,raw_trials,0.75,,
cuda,learned,16,280.0053499986461,141.9813000004524,606.0993999999482,0.0,0.0,0.0,142.0,5.0,50.7,raw_trials,0.75,0.021618906014733385,non_regressed
cuda,oracle,16,256.8115875010335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,
