eviction_penalty,trial,target_wall_ms,target_prompt_processed_tokens,target_prompt_ms,followup_wall_ms,followup_prompt_processed_tokens,followup_prompt_ms,sequence_wall_ms,sequence_prompt_processed_tokens,cache_selections,lru_selections,selection_reused_tokens,selection_evicted_tokens,prompt_tokens_cached_total,kv_cache_tokens,kv_cache_capacity_tokens,memory_model_mib,memory_context_mib,memory_compute_mib
0.0,1,34.17020000051707,5,31.204,1455.8339000013802,410,1453.084,1490.0041000018973,415,2.0,0.0,160.0,405.0,160.0,560.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.0,2,31.502199999522418,5,29.354,1459.8435000007157,410,1457.149,1491.3457000002381,415,2.0,0.0,160.0,405.0,160.0,560.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.0,3,31.531799999356735,5,29.329,1456.6969000006793,410,1453.989,1488.228700000036,415,2.0,0.0,160.0,405.0,160.0,560.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.0,4,31.6688000002614,5,29.135,1523.1046000008064,410,1520.226,1554.7734000010678,415,2.0,0.0,160.0,405.0,160.0,560.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.0,5,30.96709999954328,5,28.365,1446.2394999991375,410,1443.422,1477.2065999986808,415,2.0,0.0,160.0,405.0,160.0,560.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.5,1,102.79090000040014,25,100.727,54.24040000070818,10,51.303,157.03130000110832,35,2.0,0.0,540.0,10.0,540.0,575.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.5,2,104.02889999932086,25,101.868,56.12049999945157,10,53.103,160.14939999877242,35,2.0,0.0,540.0,10.0,540.0,575.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.5,3,99.36800000104995,25,97.093,54.3971999995847,10,51.301,153.76520000063465,35,2.0,0.0,540.0,10.0,540.0,575.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.5,4,101.90740000143705,25,99.732,54.8545000001468,10,51.57,156.76190000158385,35,2.0,0.0,540.0,10.0,540.0,575.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
0.5,5,104.83170000043174,25,102.366,55.94580000069982,10,53.136,160.77750000113156,35,2.0,0.0,540.0,10.0,540.0,575.0,2048.0,491.01829528808594,23.999977111816406,36.5117073059082
