backend,model,phase,phase_wave,global_wave,requests,request_ttft_ms,ttft_p95_ms,upstream_decisions,cacheflow_decisions,exploration_decisions,positive_decisions,drift_events,safety_fallbacks,cooldown_remaining,predicted_benefit_ms,uncertainty_ms
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,cold_start,1,1,4,"[63.914199999999255,64.94039999961387,103.89570000188542,104.20410000006086]",104.15784000033455,3,0,0,0,0,1,0,0.0,0.0
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,1,2,6,"[84.05080000011367,223.32550000282936,45.4228000016883,122.98809999992955,163.97169999981998,48.91290000159643]",208.487050002077,7,0,0,0,0,3,0,0.0,0.0
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,2,3,6,"[68.86909999957425,119.1415000030247,40.03539999757777,67.89180000123451,69.15210000079242,29.15180000127293]",106.64415000246663,2,0,0,0,0,1,0,0.0,0.0
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,3,4,6,"[64.95580000046175,92.99449999889475,58.70100000174716,64.35770000098273,65.81310000183294,45.252699997945456]",86.1991499996293,1,1,1,0,0,1,0,0.0,0.0
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,4,5,6,"[62.51239999983227,89.60379999916768,53.85660000320058,61.412500002916204,62.27539999963483,44.582700000319164]",82.83094999933382,1,1,1,0,0,1,0,0.0,0.0
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,5,6,6,"[60.473699999420205,96.25279999818304,45.884399998612935,60.25220000083209,61.32230000002892,55.67510000037146]",87.5201749986445,1,1,1,0,0,1,0,0.0,0.0
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,6,7,6,"[67.25070000175037,96.4270000004035,63.89829999898211,67.36789999922621,68.32959999883315,56.35990000155289]",89.40265000001091,1,1,1,0,0,1,0,0.0,0.0
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,7,8,6,"[205.8934999986377,232.90999999881024,64.11089999892283,67.9476999976032,233.7504999995872,57.507400000758935]",233.54037499939295,0,5,5,0,0,0,0,0.0,0.0
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,8,9,6,"[59.79750000187778,175.77560000063386,67.25459999870509,192.07970000206842,192.1342999994522,75.08510000116075]",192.12065000010625,0,5,5,0,0,0,0,7.83717,23.3479
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,9,10,6,"[132.84610000118846,159.81250000186265,49.373100002412684,35.99439999743481,69.09490000180085,41.16789999898174]",153.0709000016941,1,5,5,0,0,1,0,3.59458,15.0267
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,10,11,6,"[165.6887999997707,185.35299999712151,53.30600000161212,57.28140000064741,165.042499997071,45.535500001278706]",180.4369499977838,0,5,1,4,0,0,0,11.3748,13.9246
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,11,12,6,"[63.573299998097355,101.07649999918067,57.09719999867957,62.145300002157455,62.91870000131894,48.0357999986154]",91.70069999890984,1,1,1,0,0,1,0,7.87357,13.601
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,12,13,6,"[82.04049999767449,109.35450000033597,71.9033000023046,51.809100001264596,52.92639999970561,60.68609999783803]",102.5259999996706,1,2,2,0,0,1,0,8.11825,11.8381
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,13,14,6,"[78.54890000089654,101.88819999893894,45.12579999936861,49.29690000062692,50.00990000189631,54.25920000197948]",96.05337499942834,1,2,2,0,0,1,0,7.28309,9.92183
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,14,15,6,"[139.1650000005029,185.18630000107805,71.43549999818788,83.28629999959958,171.81740000160062,54.664600000251085]",181.8440750012087,0,5,1,4,0,0,0,7.10252,13.9333
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,15,16,6,"[169.14030000043567,170.44179999720654,49.186899999767775,63.26489999992191,61.818600002879975,47.52309999821591]",170.11642499801383,1,4,0,4,0,0,0,1.41238,11.3321
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,16,17,6,"[80.03380000081961,104.09710000021732,66.79730000178097,50.6028999989212,50.65619999732007,58.89910000041709]",98.0812750003679,1,2,0,2,0,1,0,7.96073,7.7535
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,17,18,6,"[62.21440000081202,107.88639999736915,60.73130000004312,60.94930000108434,60.90119999862509,47.998699999880046]",96.46839999822987,1,1,0,1,0,1,0,11.2633,8.78815
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,18,19,6,"[124.70159999793395,142.04719999906956,61.8547000012768,52.68090000026859,53.71569999988424,48.70680000021821]",137.71079999878566,0,4,0,4,0,0,0,9.60169,6.30939
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,19,20,6,"[62.50060000093072,90.12449999863748,53.63059999945108,63.413299998501316,61.87530000170227,47.251599997252924]",83.44669999860344,1,1,0,1,0,1,0,10.9667,7.41994
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,20,21,6,"[165.3866000015114,187.69519999841577,47.34110000208602,66.17869999899995,187.03480000112904,59.733099998993566]",187.5300999990941,0,5,0,5,0,0,0,10.2705,8.5412
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,21,22,6,"[131.799000002502,149.81780000016443,65.08729999768548,57.531400001607835,57.57900000025984,52.15390000012121]",145.31310000074882,0,4,0,4,0,0,0,10.3239,5.88289
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,22,23,6,"[68.32769999891752,101.35589999845251,66.11409999823081,68.16520000211312,68.48749999699066,53.83609999989858]",93.13879999808705,1,1,0,1,0,1,0,9.97703,7.00581
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,23,24,6,"[64.24319999860018,119.17159999939031,59.174899997742614,63.611600002332125,63.8288999980432,57.118099997751415]",105.43949999919278,1,1,0,1,0,1,0,9.48451,7.24235
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,24,25,6,"[181.94650000077672,204.91539999784436,64.03710000085994,66.39609999911045,205.64089999970747,56.13649999941117]",205.4595249992417,0,5,0,5,0,0,0,13.4281,7.048
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,25,26,6,"[183.7740999981179,183.95400000008522,56.13720000110334,57.98960000174702,51.73129999820958,54.78410000068834]",183.90902499959338,1,4,0,4,0,0,0,4.21629,6.4077
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,26,27,6,"[183.2390999989002,209.79710000028717,68.63280000106897,64.00489999941783,209.15550000063377,54.44360000183224]",209.63670000037382,1,5,0,5,0,0,0,6.07986,7.03394
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,27,28,6,"[145.2225000030012,146.1262999982864,47.05689999900642,52.15680000037537,52.049299996724585,47.27220000131638]",145.9003499994651,1,4,0,4,0,0,0,-0.777341,9.91649
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,28,29,6,"[185.04740000207676,208.07419999982812,61.545500000647735,55.45279999932973,93.19179999874905,55.35360000067158]",202.31750000039028,1,5,0,5,0,1,0,5.95359,4.98624
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,29,30,6,"[146.2632999973721,147.542999999132,49.09580000094138,51.02840000108699,50.754800002323464,49.26739999791607]",147.22307499869203,1,4,0,4,0,0,0,0.820781,6.76376
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,30,31,6,"[64.51800000286312,106.24599999937345,38.84979999929783,63.42159999985597,63.154399998893496,27.75669999755337]",95.81400000024587,1,1,0,1,0,1,0,10.287,6.1353
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,31,32,6,"[62.382699998124735,90.12390000134474,72.21369999751914,61.690899998211535,61.51490000047488,58.04300000090734]",85.64635000038834,1,1,0,1,0,1,0,9.7815,5.9489
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,32,33,6,"[143.34570000210078,175.69469999943976,55.96729999888339,57.58439999772236,176.73419999846374,43.28710000118008]",176.47432499870774,1,4,0,4,0,0,0,4.18678,7.80482
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,33,34,6,"[180.57319999934407,205.81719999972847,39.044500001182314,65.39170000178274,205.59119999961695,48.63249999834807]",205.7606999997006,0,5,0,5,0,0,0,12.5527,5.09168
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,34,35,6,"[58.422000001883134,159.80040000067675,35.65549999984796,160.29469999921275,160.60949999882723,37.46609999870998]",160.5307999989236,0,4,0,4,0,0,0,18.0146,5.74592
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,35,36,6,"[186.93939999866416,187.18910000097821,56.241700000100536,62.48340000092867,63.51440000071307,54.70539999805624]",187.1266750003997,1,4,0,4,0,0,0,-4.64969,6.2538
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,36,37,6,"[159.45899999860558,187.53640000068117,63.93709999974817,61.70919999931357,187.7399000004516,55.651999999099644]",187.689025000509,0,5,0,5,0,0,0,10.7135,4.65989
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,37,38,6,"[157.684199999494,213.57300000090618,46.97890000170446,84.7819000009622,198.29589999790187,48.84450000099605]",209.7537250001551,0,5,0,5,0,0,0,6.08563,5.89119
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,38,39,6,"[163.7775999988662,163.992199999484,57.98839999988559,58.5441000002902,163.11970000242582,57.21040000207722]",163.93854999932955,1,4,0,4,0,0,0,3.7586,6.76148
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,39,40,6,"[190.20829999863054,191.3438000010501,72.02399999732734,60.36129999847617,60.311799999908544,72.08089999767253]",191.05992500044522,1,4,0,4,0,0,0,-0.804796,5.03163
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,40,41,6,"[61.33119999867631,108.14380000010715,39.257699998415774,60.77509999886388,60.773500001232605,62.7946000022348]",96.80650000063906,1,1,0,1,0,1,0,9.04672,5.56378
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,41,42,6,"[128.10340000214637,148.25109999947017,63.444600000366336,56.78110000008019,56.595400001242524,51.95869999806746]",143.21417500013922,0,4,0,4,0,0,0,7.80419,3.47817
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,42,43,6,"[185.89409999913187,208.98179999858257,50.61710000154562,61.122199997043936,210.22699999957695,38.345100001606625]",209.91569999932835,0,5,0,5,0,0,0,10.5169,3.48489
cuda,qwen2.5-0.5b-instruct-q4_k_m.gguf,stable_reuse,43,44,6,"[85.45539999977336,178.35879999984172,46.738199998799246,176.9483999996737,178.5208999972383,48.427000001538545]",178.48037499788916,0,4,0,4,0,0,0,18.7843,4.51046
