backend,policy,trial,request,kind,ttft_ms,tpot_ms,total_ms,prompt_tokens,completion_tokens,output_tps,burst_ms
cpu,cacheflow,1,0,long_prefill,3078.9894000008644,38.138485714236076,3345.958800000517,790,8,26.220233479976024,7661.39370000019
cpu,cacheflow,1,1,short_decode,83.86569999856874,278.3863840000413,7043.525299999601,393,26,3.5921297070328397,7661.39370000019
cpu,cacheflow,1,2,long_prefill,3073.416299999735,38.17318571418582,3340.628599999036,630,8,26.19639889338297,7661.39370000019
cpu,cacheflow,1,3,short_decode,3073.6419999993814,157.2066961538999,7161.016100000779,393,27,6.361052197299755,7661.39370000019
cpu,cacheflow,1,4,long_prefill,1617.4809000003734,37.01282857140801,1876.5707000002294,720,8,27.017659514206617,7661.39370000019
cpu,cacheflow,1,5,short_decode,1617.9520999994565,98.98041666671513,3993.4821000006195,393,25,10.103008591761943,7661.39370000019
cpu,cacheflow,1,6,long_prefill,1540.9852000011597,46.67047142850476,1867.678500000693,720,8,21.42682448648319,7661.39370000019
cpu,cacheflow,1,7,short_decode,119.54220000006899,19.782020833266262,594.3106999984593,393,25,50.550952727658576,7661.39370000019
cpu,cacheflow,2,0,long_prefill,2961.1758000010013,38.28705714295211,3229.185200001666,790,8,26.11848688882792,7512.571299999763
cpu,cacheflow,2,1,short_decode,2961.576100000457,163.15023199997086,7040.331899999728,393,26,6.129320122573768,7512.571299999763
cpu,cacheflow,2,2,long_prefill,1070.400200000222,302.9500285712337,3191.0503999988578,630,8,3.3008744204982525,7512.571299999763
cpu,cacheflow,2,3,short_decode,2959.4274000010046,191.5443349999805,6790.314100000614,393,21,5.22072344243489,7512.571299999763
cpu,cacheflow,2,4,long_prefill,1581.8918999993912,44.85034285711923,1895.8442999992258,720,8,22.296373590403157,7512.571299999763
cpu,cacheflow,2,5,short_decode,1633.6958000010782,99.71348333328933,4026.819400000022,393,25,10.028733994353903,7512.571299999763
cpu,cacheflow,2,6,long_prefill,1585.715999999593,46.66009999995627,1912.3366999992868,720,8,21.43158715907032,7512.571299999763
cpu,cacheflow,2,7,short_decode,124.93080000058399,24.804600000000693,720.2412000006007,393,25,40.315102843826224,7512.571299999763
cpu,cacheflow,3,0,long_prefill,2951.031200000216,38.88719999979782,3223.2415999988007,790,8,25.715402497613585,7534.931000000142
