category,case,quantization,backend,parallel,context,requests,prompt_tokens,generated_tokens,max_wall_ms
model_backend,model-q4_k_m-cpu,Q4_K_M,cpu,1,512,1,12,4,115.42790000385139
model_backend,model-q4_k_m-cuda,Q4_K_M,cuda,1,512,1,12,4,55.803800001740456
model_backend,model-q8_0-cpu,Q8_0,cpu,1,512,1,12,4,127.72050000057789
model_backend,model-q8_0-cuda,Q8_0,cuda,1,512,1,12,4,49.711699997715186
model_backend,model-f16-cpu,F16,cpu,1,512,1,12,4,167.61020000558347
model_backend,model-f16-cuda,F16,cuda,1,512,1,12,4,51.995699999679346
concurrency,concurrency-1,Q4_K_M,cuda,1,512,1,41,4,88.25910000450676
concurrency,concurrency-2,Q4_K_M,cuda,2,512,2,82,8,78.38189999893075
concurrency,concurrency-4,Q4_K_M,cuda,4,512,4,164,16,76.5698000031989
concurrency,concurrency-8,Q4_K_M,cuda,8,512,8,328,32,100.11190000659553
context,context-128,Q4_K_M,cuda,1,256,1,131,4,49.94330000045011
context,context-512,Q4_K_M,cuda,1,640,1,515,4,75.06199999625096
context,context-2048,Q4_K_M,cuda,1,2176,1,2051,4,155.98740000132238
context,context-4096,Q4_K_M,cuda,1,4224,1,4099,4,293.2453999965219
