phase,method,blocks,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,bytes
profile,scalar_gather_scatter,32,0,1,20260838,0.913700,2.441216,2.483800,67108864
profile,vectorized_gather_scatter,32,0,0,20260838,0.541900,2.143232,2.161800,67108864
profile,scalar_gather_scatter,32,1,0,20260838,0.604300,2.116512,2.169000,67108864
profile,vectorized_gather_scatter,32,1,1,20260838,0.474100,1.994496,2.042000,67108864
profile,scalar_gather_scatter,32,2,1,20260838,0.491700,2.086912,2.114600,67108864
profile,vectorized_gather_scatter,32,2,0,20260838,0.805900,2.153376,2.205800,67108864
profile,scalar_gather_scatter,32,3,0,20260838,0.387000,2.006016,2.026300,67108864
profile,vectorized_gather_scatter,32,3,1,20260838,0.555700,2.070528,2.110800,67108864
profile,scalar_gather_scatter,32,4,1,20260838,0.366000,2.010112,2.031200,67108864
profile,vectorized_gather_scatter,32,4,0,20260838,0.607900,2.136064,2.189200,67108864

