phase,method,blocks,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,bytes
profile,scalar_gather_scatter,1,0,1,20260807,0.399700,0.392192,0.411000,2097152
profile,vectorized_gather_scatter,1,0,0,20260807,0.617600,0.606112,0.624400,2097152
profile,scalar_gather_scatter,1,1,1,20260807,0.315500,0.307200,0.340800,2097152
profile,vectorized_gather_scatter,1,1,0,20260807,0.329300,0.317504,0.335300,2097152
profile,scalar_gather_scatter,1,2,1,20260807,0.333500,0.321408,0.343800,2097152
profile,vectorized_gather_scatter,1,2,0,20260807,0.346700,0.320352,0.350100,2097152
profile,scalar_gather_scatter,1,3,1,20260807,0.335400,0.310272,0.343700,2097152
profile,vectorized_gather_scatter,1,3,0,20260807,0.366400,0.339968,0.377600,2097152
profile,scalar_gather_scatter,1,4,0,20260807,0.354300,0.331776,0.363100,2097152
profile,vectorized_gather_scatter,1,4,1,20260807,0.356300,0.334720,0.364700,2097152

