phase,method,blocks,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,bytes
profile,scalar_gather_scatter,16,0,0,20260822,0.567200,1.251328,1.274600,33554432
profile,vectorized_gather_scatter,16,0,1,20260822,0.447200,1.052672,1.094900,33554432
profile,scalar_gather_scatter,16,1,0,20260822,0.635300,1.255424,1.305000,33554432
profile,vectorized_gather_scatter,16,1,1,20260822,0.441800,1.103872,1.131800,33554432
profile,scalar_gather_scatter,16,2,0,20260822,0.427000,1.143808,1.162500,33554432
profile,vectorized_gather_scatter,16,2,1,20260822,0.396900,1.071104,1.089600,33554432
profile,scalar_gather_scatter,16,3,1,20260822,0.376000,1.113952,1.144900,33554432
profile,vectorized_gather_scatter,16,3,0,20260822,0.467400,1.092608,1.128600,33554432
profile,scalar_gather_scatter,16,4,1,20260822,0.391400,1.131520,1.151900,33554432
profile,vectorized_gather_scatter,16,4,0,20260822,0.548600,1.166336,1.213600,33554432

