phase,method,blocks,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,bytes
profile,scalar_gather_scatter,1,0,1,20261807,0.354600,0.349184,0.366900,2097148
profile,vectorized_gather_scatter,1,0,0,20261807,0.667400,0.674816,0.692700,2097148
profile,scalar_gather_scatter,1,1,1,20261807,0.398900,0.392192,0.406800,2097148
profile,vectorized_gather_scatter,1,1,0,20261807,0.331600,0.349184,0.363600,2097148
profile,scalar_gather_scatter,1,2,1,20261807,0.388500,0.362496,0.396600,2097148
profile,vectorized_gather_scatter,1,2,0,20261807,0.433400,0.424960,0.446600,2097148
profile,scalar_gather_scatter,1,3,1,20261807,0.442600,0.417984,0.452800,2097148
profile,vectorized_gather_scatter,1,3,0,20261807,0.409800,0.398080,0.428200,2097148
profile,scalar_gather_scatter,1,4,0,20261807,0.505400,0.478112,0.514700,2097148
profile,vectorized_gather_scatter,1,4,1,20261807,0.401900,0.388096,0.421700,2097148

