phase,method,blocks,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,bytes
profile,scalar_gather_scatter,32,0,1,20260838,0.027500,1.639424,1.656900,67108864
profile,vectorized_gather_scatter,32,0,0,20260838,0.027700,1.582080,1.597200,67108864
profile,scalar_gather_scatter,32,1,0,20260838,0.029500,1.621952,1.630700,67108864
profile,vectorized_gather_scatter,32,1,1,20260838,0.029100,1.558272,1.567400,67108864
profile,scalar_gather_scatter,32,2,1,20260838,0.027200,1.640448,1.655600,67108864
profile,vectorized_gather_scatter,32,2,0,20260838,0.019000,1.575936,1.588300,67108864
profile,scalar_gather_scatter,32,3,0,20260838,0.014300,1.623968,1.633200,67108864
profile,vectorized_gather_scatter,32,3,1,20260838,0.021800,1.544032,1.559300,67108864
profile,scalar_gather_scatter,32,4,1,20260838,0.027700,1.640320,1.658500,67108864
profile,vectorized_gather_scatter,32,4,0,20260838,0.024800,1.575936,1.593700,67108864
profile,scalar_gather_scatter,32,5,1,20260838,0.015900,1.637376,1.647900,67108864
profile,vectorized_gather_scatter,32,5,0,20260838,0.021600,1.560576,1.574500,67108864
profile,scalar_gather_scatter,32,6,1,20260838,0.019500,1.638400,1.652200,67108864
profile,vectorized_gather_scatter,32,6,0,20260838,0.018300,1.550336,1.563100,67108864
profile,scalar_gather_scatter,32,7,0,20260838,0.018400,1.622016,1.634400,67108864
profile,vectorized_gather_scatter,32,7,1,20260838,0.022000,1.558496,1.573500,67108864
profile,scalar_gather_scatter,32,8,0,20260838,0.021200,1.637376,1.652900,67108864
profile,vectorized_gather_scatter,32,8,1,20260838,0.020000,1.560576,1.576900,67108864
profile,scalar_gather_scatter,32,9,1,20260838,0.019600,1.640448,1.651700,67108864
profile,vectorized_gather_scatter,32,9,0,20260838,0.045900,1.595392,1.626900,67108864
profile,scalar_gather_scatter,32,10,0,20260838,0.014600,1.622016,1.631700,67108864
profile,vectorized_gather_scatter,32,10,1,20260838,0.017500,1.554432,1.569200,67108864
profile,scalar_gather_scatter,32,11,1,20260838,0.018800,1.637344,1.649500,67108864
profile,vectorized_gather_scatter,32,11,0,20260838,0.054500,1.582816,1.617800,67108864
profile,scalar_gather_scatter,32,12,1,20260838,0.014500,1.635328,1.646600,67108864
profile,vectorized_gather_scatter,32,12,0,20260838,0.018600,1.558272,1.569800,67108864
profile,scalar_gather_scatter,32,13,1,20260838,0.016900,1.636320,1.646700,67108864
profile,vectorized_gather_scatter,32,13,0,20260838,0.054900,1.572640,1.609400,67108864
profile,scalar_gather_scatter,32,14,0,20260838,0.017500,1.620992,1.633000,67108864
profile,vectorized_gather_scatter,32,14,1,20260838,0.014400,1.557440,1.593700,67108864
profile,scalar_gather_scatter,32,15,0,20260838,0.034800,1.643520,1.669000,67108864
profile,vectorized_gather_scatter,32,15,1,20260838,0.020600,1.553408,1.566600,67108864
profile,scalar_gather_scatter,32,16,0,20260838,0.034500,1.658880,1.668400,67108864
profile,vectorized_gather_scatter,32,16,1,20260838,0.028600,1.555456,1.565000,67108864
profile,scalar_gather_scatter,32,17,1,20260838,0.037000,1.642496,1.666400,67108864
profile,vectorized_gather_scatter,32,17,0,20260838,0.018500,1.580032,1.594500,67108864
profile,scalar_gather_scatter,32,18,0,20260838,0.016400,1.620992,1.630800,67108864
profile,vectorized_gather_scatter,32,18,1,20260838,0.019000,1.560576,1.572600,67108864
profile,scalar_gather_scatter,32,19,0,20260838,0.014400,1.638400,1.649400,67108864
profile,vectorized_gather_scatter,32,19,1,20260838,0.047100,1.555456,1.583900,67108864
