phase,method,blocks,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,bytes
profile,scalar_gather_scatter,1,0,1,20260807,0.016900,0.036736,0.046400,2097152
profile,vectorized_gather_scatter,1,0,0,20260807,0.017000,0.016384,0.028600,2097152
profile,scalar_gather_scatter,1,1,1,20260807,0.014600,0.035680,0.044300,2097152
profile,vectorized_gather_scatter,1,1,0,20260807,0.014800,0.016384,0.025800,2097152
profile,scalar_gather_scatter,1,2,1,20260807,0.014200,0.035840,0.044900,2097152
profile,vectorized_gather_scatter,1,2,0,20260807,0.034600,0.028480,0.045300,2097152
profile,scalar_gather_scatter,1,3,1,20260807,0.015200,0.036640,0.045600,2097152
profile,vectorized_gather_scatter,1,3,0,20260807,0.014100,0.052224,0.060900,2097152
profile,scalar_gather_scatter,1,4,0,20260807,0.025700,0.034816,0.056600,2097152
profile,vectorized_gather_scatter,1,4,1,20260807,0.029600,0.027584,0.036900,2097152
profile,scalar_gather_scatter,1,5,0,20260807,0.014200,0.035840,0.045200,2097152
profile,vectorized_gather_scatter,1,5,1,20260807,0.023900,0.015360,0.034400,2097152
profile,scalar_gather_scatter,1,6,0,20260807,0.013800,0.035840,0.044500,2097152
profile,vectorized_gather_scatter,1,6,1,20260807,0.012700,0.035776,0.044600,2097152
profile,scalar_gather_scatter,1,7,0,20260807,0.017800,0.035840,0.048500,2097152
profile,vectorized_gather_scatter,1,7,1,20260807,0.013700,0.015392,0.024700,2097152
profile,scalar_gather_scatter,1,8,0,20260807,0.013500,0.035840,0.044200,2097152
profile,vectorized_gather_scatter,1,8,1,20260807,0.023400,0.015360,0.034500,2097152
profile,scalar_gather_scatter,1,9,1,20260807,0.012100,0.067584,0.076700,2097152
profile,vectorized_gather_scatter,1,9,0,20260807,0.014000,0.016384,0.024800,2097152
profile,scalar_gather_scatter,1,10,0,20260807,0.014300,0.035840,0.044800,2097152
profile,vectorized_gather_scatter,1,10,1,20260807,0.023000,0.015360,0.034100,2097152
profile,scalar_gather_scatter,1,11,0,20260807,0.013800,0.035840,0.044400,2097152
profile,vectorized_gather_scatter,1,11,1,20260807,0.029100,0.027616,0.036100,2097152
profile,scalar_gather_scatter,1,12,1,20260807,0.014000,0.035648,0.044800,2097152
profile,vectorized_gather_scatter,1,12,0,20260807,0.014300,0.016320,0.025100,2097152
profile,scalar_gather_scatter,1,13,0,20260807,0.021400,0.035840,0.051700,2097152
profile,vectorized_gather_scatter,1,13,1,20260807,0.014300,0.015360,0.024900,2097152
profile,scalar_gather_scatter,1,14,0,20260807,0.014100,0.035840,0.044600,2097152
profile,vectorized_gather_scatter,1,14,1,20260807,0.023500,0.015296,0.034300,2097152
profile,scalar_gather_scatter,1,15,1,20260807,0.012200,0.070560,0.079400,2097152
profile,vectorized_gather_scatter,1,15,0,20260807,0.014200,0.016384,0.024800,2097152
profile,scalar_gather_scatter,1,16,0,20260807,0.014600,0.035840,0.045300,2097152
profile,vectorized_gather_scatter,1,16,1,20260807,0.014000,0.015360,0.024600,2097152
profile,scalar_gather_scatter,1,17,1,20260807,0.039600,0.047872,0.070300,2097152
profile,vectorized_gather_scatter,1,17,0,20260807,0.013900,0.016384,0.025400,2097152
profile,scalar_gather_scatter,1,18,0,20260807,0.014100,0.036640,0.044900,2097152
profile,vectorized_gather_scatter,1,18,1,20260807,0.013100,0.049952,0.061800,2097152
profile,scalar_gather_scatter,1,19,0,20260807,0.043500,0.042784,0.072900,2097152
profile,vectorized_gather_scatter,1,19,1,20260807,0.015300,0.016384,0.026100,2097152
