phase,method,blocks,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,bytes
profile,scalar_gather_scatter,16,0,0,20260822,0.032300,0.940032,0.965500,33554432
profile,vectorized_gather_scatter,16,0,1,20260822,0.031100,0.894720,0.909900,33554432
profile,scalar_gather_scatter,16,1,0,20260822,0.047600,0.934880,0.967500,33554432
profile,vectorized_gather_scatter,16,1,1,20260822,0.033600,0.867328,0.886700,33554432
profile,scalar_gather_scatter,16,2,0,20260822,0.025800,0.931712,0.947600,33554432
profile,vectorized_gather_scatter,16,2,1,20260822,0.022300,0.881568,0.895100,33554432
profile,scalar_gather_scatter,16,3,1,20260822,0.039500,0.942080,0.954500,33554432
profile,vectorized_gather_scatter,16,3,0,20260822,0.028500,0.912384,0.933900,33554432
profile,scalar_gather_scatter,16,4,1,20260822,0.018000,0.922624,0.940400,33554432
profile,vectorized_gather_scatter,16,4,0,20260822,0.016500,0.875520,0.886500,33554432
profile,scalar_gather_scatter,16,5,0,20260822,0.058700,0.918528,0.958300,33554432
profile,vectorized_gather_scatter,16,5,1,20260822,0.028800,0.877568,0.888300,33554432
profile,scalar_gather_scatter,16,6,0,20260822,0.020400,0.926720,0.940000,33554432
profile,vectorized_gather_scatter,16,6,1,20260822,0.037200,0.874496,0.903700,33554432
profile,scalar_gather_scatter,16,7,1,20260822,0.034700,0.940032,0.953200,33554432
profile,vectorized_gather_scatter,16,7,0,20260822,0.024000,0.913408,0.929200,33554432
profile,scalar_gather_scatter,16,8,0,20260822,0.030500,0.918528,0.931600,33554432
profile,vectorized_gather_scatter,16,8,1,20260822,0.028900,0.877568,0.896500,33554432
profile,scalar_gather_scatter,16,9,0,20260822,0.026400,0.925440,0.943900,33554432
profile,vectorized_gather_scatter,16,9,1,20260822,0.022500,0.882464,0.892300,33554432
profile,scalar_gather_scatter,16,10,1,20260822,0.014400,0.923648,0.933100,33554432
profile,vectorized_gather_scatter,16,10,0,20260822,0.015900,0.902144,0.913300,33554432
profile,scalar_gather_scatter,16,11,0,20260822,0.015100,0.905216,0.915100,33554432
profile,vectorized_gather_scatter,16,11,1,20260822,0.017100,0.867328,0.878600,33554432
profile,scalar_gather_scatter,16,12,0,20260822,0.023200,0.933888,0.946500,33554432
profile,vectorized_gather_scatter,16,12,1,20260822,0.056700,0.881664,0.921200,33554432
profile,scalar_gather_scatter,16,13,0,20260822,0.029200,0.928768,0.947400,33554432
profile,vectorized_gather_scatter,16,13,1,20260822,0.026200,0.877344,0.893400,33554432
profile,scalar_gather_scatter,16,14,0,20260822,0.023700,0.926560,0.942100,33554432
profile,vectorized_gather_scatter,16,14,1,20260822,0.020400,0.874496,0.887300,33554432
profile,scalar_gather_scatter,16,15,0,20260822,0.021900,0.926720,0.940900,33554432
profile,vectorized_gather_scatter,16,15,1,20260822,0.034300,0.871392,0.918200,33554432
profile,scalar_gather_scatter,16,16,0,20260822,0.076200,0.952320,1.011300,33554432
profile,vectorized_gather_scatter,16,16,1,20260822,0.039400,0.893728,0.921700,33554432
profile,scalar_gather_scatter,16,17,0,20260822,0.034300,0.937984,0.964000,33554432
profile,vectorized_gather_scatter,16,17,1,20260822,0.047000,0.892768,0.926900,33554432
profile,scalar_gather_scatter,16,18,0,20260822,0.048500,0.942080,0.977200,33554432
profile,vectorized_gather_scatter,16,18,1,20260822,0.037300,0.889856,0.915500,33554432
profile,scalar_gather_scatter,16,19,0,20260822,0.030300,0.938944,0.956400,33554432
profile,vectorized_gather_scatter,16,19,1,20260822,0.081000,0.886784,0.967600,33554432
