phase,method,blocks,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,bytes
profile,scalar_gather_scatter,1,0,1,20261807,0.015400,0.037888,0.047500,2097148
profile,vectorized_gather_scatter,1,0,0,20261807,0.016800,0.090112,0.102100,2097148
profile,scalar_gather_scatter,1,1,1,20261807,0.014500,0.037888,0.047000,2097148
profile,vectorized_gather_scatter,1,1,0,20261807,0.015000,0.090112,0.100300,2097148
profile,scalar_gather_scatter,1,2,1,20261807,0.014100,0.037792,0.047100,2097148
profile,vectorized_gather_scatter,1,2,0,20261807,0.021000,0.091040,0.107300,2097148
profile,scalar_gather_scatter,1,3,1,20261807,0.029800,0.038912,0.050200,2097148
profile,vectorized_gather_scatter,1,3,0,20261807,0.022300,0.091136,0.108800,2097148
profile,scalar_gather_scatter,1,4,0,20261807,0.015100,0.037888,0.048600,2097148
profile,vectorized_gather_scatter,1,4,1,20261807,0.014200,0.091008,0.099500,2097148
profile,scalar_gather_scatter,1,5,0,20261807,0.014600,0.036864,0.047000,2097148
profile,vectorized_gather_scatter,1,5,1,20261807,0.014800,0.091072,0.099700,2097148
profile,scalar_gather_scatter,1,6,0,20261807,0.014200,0.037600,0.046900,2097148
profile,vectorized_gather_scatter,1,6,1,20261807,0.013900,0.090112,0.099100,2097148
profile,scalar_gather_scatter,1,7,0,20261807,0.014600,0.037888,0.047400,2097148
profile,vectorized_gather_scatter,1,7,1,20261807,0.014100,0.090112,0.099200,2097148
profile,scalar_gather_scatter,1,8,1,20261807,0.014100,0.037888,0.046600,2097148
profile,vectorized_gather_scatter,1,8,0,20261807,0.028800,0.090112,0.099800,2097148
profile,scalar_gather_scatter,1,9,1,20261807,0.014200,0.037888,0.046600,2097148
profile,vectorized_gather_scatter,1,9,0,20261807,0.013700,0.090112,0.099400,2097148
profile,scalar_gather_scatter,1,10,0,20261807,0.035700,0.049152,0.068000,2097148
profile,vectorized_gather_scatter,1,10,1,20261807,0.014300,0.089088,0.098000,2097148
profile,scalar_gather_scatter,1,11,0,20261807,0.014200,0.037856,0.046900,2097148
profile,vectorized_gather_scatter,1,11,1,20261807,0.013700,0.090112,0.098600,2097148
profile,scalar_gather_scatter,1,12,1,20261807,0.018900,0.036864,0.046300,2097148
profile,vectorized_gather_scatter,1,12,0,20261807,0.014100,0.090112,0.099400,2097148
profile,scalar_gather_scatter,1,13,0,20261807,0.044700,0.039936,0.049600,2097148
profile,vectorized_gather_scatter,1,13,1,20261807,0.014000,0.089088,0.098200,2097148
profile,scalar_gather_scatter,1,14,1,20261807,0.014600,0.037792,0.047100,2097148
profile,vectorized_gather_scatter,1,14,0,20261807,0.014900,0.090112,0.100200,2097148
profile,scalar_gather_scatter,1,15,1,20261807,0.014500,0.036864,0.046900,2097148
profile,vectorized_gather_scatter,1,15,0,20261807,0.024600,0.091136,0.110100,2097148
profile,scalar_gather_scatter,1,16,1,20261807,0.014300,0.036864,0.046700,2097148
profile,vectorized_gather_scatter,1,16,0,20261807,0.035300,0.102368,0.120000,2097148
profile,scalar_gather_scatter,1,17,0,20261807,0.033100,0.049120,0.065500,2097148
profile,vectorized_gather_scatter,1,17,1,20261807,0.014400,0.089088,0.099000,2097148
profile,scalar_gather_scatter,1,18,1,20261807,0.014300,0.037888,0.046800,2097148
profile,vectorized_gather_scatter,1,18,0,20261807,0.014200,0.090112,0.099100,2097148
profile,scalar_gather_scatter,1,19,1,20261807,0.014400,0.037888,0.046800,2097148
profile,vectorized_gather_scatter,1,19,0,20261807,0.034300,0.101216,0.119300,2097148
