phase,method,shape,context,batch,layout,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,max_abs_error,logical_kv_bytes
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,0,1,20261180,0.008700,0.016384,0.022500,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,0,0,20261180,0.019600,0.018368,0.034900,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,1,0,20261180,0.009300,0.016384,0.024000,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,1,1,20261180,0.008100,0.018432,0.023700,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,2,1,20261180,0.008300,0.016096,0.022200,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,2,0,20261180,0.008500,0.017408,0.023800,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,3,1,20261180,0.017600,0.016384,0.027100,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,3,0,20261180,0.008400,0.018432,0.024100,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,4,0,20261180,0.012100,0.018336,0.025000,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,4,1,20261180,0.010400,0.047104,0.054100,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,5,1,20261180,0.008000,0.015360,0.021800,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,5,0,20261180,0.008800,0.017408,0.023900,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,6,1,20261180,0.006900,0.041984,0.048900,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,6,0,20261180,0.008100,0.018432,0.023900,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,7,1,20261180,0.008400,0.016384,0.022200,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,7,0,20261180,0.009100,0.018272,0.024200,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,8,1,20261180,0.008600,0.043840,0.049800,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,8,0,20261180,0.008200,0.018144,0.023500,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,9,1,20261180,0.008200,0.015360,0.021900,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,9,0,20261180,0.008800,0.017408,0.023800,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,10,0,20261180,0.008000,0.015360,0.022100,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,10,1,20261180,0.006600,0.047104,0.052500,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,11,0,20261180,0.008500,0.016064,0.022200,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,11,1,20261180,0.008200,0.017408,0.023200,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,12,1,20261180,0.006900,0.044032,0.049800,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,12,0,20261180,0.008500,0.017408,0.023600,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,13,0,20261180,0.008900,0.016384,0.022600,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,13,1,20261180,0.008100,0.018208,0.023300,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,14,0,20261180,0.008000,0.015360,0.021800,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,14,1,20261180,0.007000,0.060416,0.066800,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,15,1,20261180,0.008400,0.015360,0.022000,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,15,0,20261180,0.008900,0.018432,0.024300,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,16,1,20261180,0.007000,0.045024,0.050300,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,16,0,20261180,0.008100,0.018240,0.023300,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,17,0,20261180,0.009200,0.015360,0.022700,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,17,1,20261180,0.008300,0.017408,0.023500,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,18,1,20261180,0.006700,0.044928,0.050700,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,18,0,20261180,0.008500,0.018272,0.023700,0.000000000,8192
confirmatory,contiguous,qwen2.5-0.5b,16,1,identity,19,1,20261180,0.008300,0.016384,0.022100,0.000000000,8192
confirmatory,paged,qwen2.5-0.5b,16,1,identity,19,0,20261180,0.009500,0.017408,0.025200,0.000000000,8192
