phase,method,shape,context,batch,layout,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,max_abs_error,logical_kv_bytes
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,0,1,20262206,0.038000,0.017632,0.038200,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,0,0,20262206,0.039600,0.033728,0.040700,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,1,1,20262206,0.038000,0.034848,0.041600,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,1,0,20262206,0.038700,0.018432,0.038900,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,2,1,20262206,0.102700,0.100224,0.106400,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,2,0,20262206,0.038100,0.018400,0.038200,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,3,0,20262206,0.039400,0.034816,0.043000,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,3,1,20262206,0.038600,0.020480,0.038700,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,4,1,20262206,0.039100,0.035936,0.042700,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,4,0,20262206,0.037900,0.018432,0.038000,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,5,0,20262206,0.037800,0.034816,0.041400,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,5,1,20262206,0.037900,0.018432,0.038100,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,6,0,20262206,0.040000,0.036864,0.043700,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,6,1,20262206,0.023000,0.020256,0.038100,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,7,1,20262206,0.036900,0.017408,0.037000,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,7,0,20262206,0.037900,0.017408,0.038100,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,8,1,20262206,0.038100,0.035040,0.041600,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,8,0,20262206,0.023200,0.017408,0.038500,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,9,0,20262206,0.043100,0.018432,0.043300,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,9,1,20262206,0.023500,0.020288,0.038400,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,10,0,20262206,0.036900,0.018144,0.037100,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,10,1,20262206,0.038100,0.017408,0.038300,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,11,0,20262206,0.036900,0.017408,0.037100,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,11,1,20262206,0.037900,0.020480,0.038100,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,12,1,20262206,0.036900,0.017408,0.037000,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,12,0,20262206,0.037800,0.017408,0.038000,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,13,0,20262206,0.037200,0.017408,0.037300,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,13,1,20262206,0.023100,0.017408,0.038300,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,14,0,20262206,0.036800,0.016608,0.036900,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,14,1,20262206,0.022800,0.020256,0.037500,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,15,1,20262206,0.037000,0.017408,0.037100,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,15,0,20262206,0.037800,0.017408,0.038000,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,16,0,20262206,0.037500,0.034816,0.041500,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,16,1,20262206,0.037900,0.017408,0.038000,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,17,0,20262206,0.037600,0.034656,0.041100,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,17,1,20262206,0.037800,0.017408,0.038000,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,18,0,20262206,0.036800,0.018240,0.036900,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,18,1,20262206,0.037500,0.017408,0.037600,0.000000015,8704
confirmatory,contiguous,qwen2.5-0.5b,17,1,fragmented,19,0,20262206,0.038000,0.034816,0.041600,0.000000015,8704
confirmatory,paged,qwen2.5-0.5b,17,1,fragmented,19,1,20262206,0.037600,0.020480,0.037800,0.000000015,8704
