phase,method,shape,context,batch,layout,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,max_abs_error,logical_kv_bytes
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,0,1,20279325,0.023000,0.664576,0.679000,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,0,0,20279325,0.014500,0.747520,0.755500,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,1,1,20279325,0.011900,0.660352,0.667800,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,1,0,20279325,0.017600,0.748544,0.759600,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,2,1,20279325,0.012500,0.660480,0.668200,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,2,0,20279325,0.022300,0.745248,0.751100,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,3,0,20279325,0.011900,0.659456,0.667300,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,3,1,20279325,0.011900,0.744448,0.753700,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,4,1,20279325,0.015500,0.662528,0.671300,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,4,0,20279325,0.028300,0.759808,0.769000,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,5,1,20279325,0.010100,0.659456,0.665800,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,5,0,20279325,0.010600,0.745440,0.752100,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,6,0,20279325,0.008400,0.658432,0.664500,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,6,1,20279325,0.011800,0.744448,0.753000,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,7,0,20279325,0.011000,0.658432,0.666300,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,7,1,20279325,0.011200,0.744384,0.752200,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,8,0,20279325,0.022700,0.658304,0.664200,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,8,1,20279325,0.010700,0.744448,0.752200,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,9,0,20279325,0.010000,0.659456,0.666500,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,9,1,20279325,0.010500,0.745472,0.752200,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,10,1,20279325,0.009800,0.658432,0.665800,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,10,0,20279325,0.011900,0.743424,0.753400,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,11,0,20279325,0.010400,0.658240,0.687700,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,11,1,20279325,0.047300,0.770048,0.804100,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,12,1,20279325,0.029500,0.659328,0.685400,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,12,0,20279325,0.031900,0.744448,0.768900,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,13,0,20279325,0.024000,0.658432,0.681300,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,13,1,20279325,0.024800,0.744448,0.781400,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,14,1,20279325,0.045800,0.686080,0.720800,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,14,0,20279325,0.042500,0.769024,0.807700,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,15,1,20279325,0.033100,0.672576,0.698900,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,15,0,20279325,0.033800,0.763904,0.793400,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,16,0,20279325,0.028600,0.658432,0.682800,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,16,1,20279325,0.029300,0.743424,0.767700,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,17,1,20279325,0.030000,0.672768,0.710000,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,17,0,20279325,0.023500,0.744448,0.768400,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,18,1,20279325,0.027000,0.671616,0.683500,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,18,0,20279325,0.094400,0.812032,0.825300,0.000000015,524288
confirmatory,contiguous,qwen2.5-0.5b,1024,1,fragmented,19,0,20279325,0.021700,0.661504,0.677900,0.000000015,524288
confirmatory,paged,qwen2.5-0.5b,1024,1,fragmented,19,1,20279325,0.020300,0.748544,0.761300,0.000000015,524288
