phase,method,shape,context,batch,layout,trial,order_in_pair,random_seed,host_enqueue_ms,gpu_ms,end_to_end_ms,max_abs_error,logical_kv_bytes
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,0,1,20266269,0.028800,0.176128,0.194000,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,0,0,20266269,0.008800,0.189440,0.198100,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,1,0,20266269,0.010200,0.168960,0.176600,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,1,1,20266269,0.009000,0.190400,0.196800,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,2,0,20266269,0.009000,0.167936,0.175200,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,2,1,20266269,0.010900,0.189440,0.198400,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,3,0,20266269,0.012300,0.169984,0.178500,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,3,1,20266269,0.012900,0.192384,0.201500,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,4,1,20266269,0.015800,0.172992,0.181600,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,4,0,20266269,0.017400,0.194560,0.204700,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,5,0,20266269,0.011800,0.170848,0.178400,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,5,1,20266269,0.013100,0.192512,0.201900,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,6,1,20266269,0.012600,0.170784,0.177700,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,6,0,20266269,0.015500,0.193536,0.203900,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,7,1,20266269,0.008300,0.167936,0.174300,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,7,0,20266269,0.009000,0.190464,0.196600,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,8,1,20266269,0.008200,0.168960,0.174800,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,8,0,20266269,0.008500,0.189440,0.196300,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,9,1,20266269,0.008300,0.168960,0.174500,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,9,0,20266269,0.008500,0.189440,0.196000,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,10,0,20266269,0.008300,0.167936,0.174300,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,10,1,20266269,0.008000,0.189440,0.195500,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,11,1,20266269,0.008400,0.167936,0.174300,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,11,0,20266269,0.008400,0.189440,0.195900,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,12,1,20266269,0.008800,0.167936,0.174800,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,12,0,20266269,0.008700,0.190464,0.196300,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,13,1,20266269,0.008700,0.168928,0.174700,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,13,0,20266269,0.008600,0.189440,0.196100,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,14,1,20266269,0.008400,0.168960,0.174600,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,14,0,20266269,0.008300,0.189440,0.195900,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,15,0,20266269,0.009100,0.168960,0.174600,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,15,1,20266269,0.008400,0.189440,0.195900,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,16,1,20266269,0.007900,0.167936,0.174100,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,16,0,20266269,0.008200,0.190144,0.195800,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,17,0,20266269,0.008300,0.168960,0.174400,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,17,1,20266269,0.008000,0.189440,0.195800,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,18,1,20266269,0.008900,0.168960,0.174800,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,18,0,20266269,0.010600,0.190464,0.198800,0.000000000,131072
confirmatory,contiguous,qwen2.5-0.5b,256,1,fragmented,19,0,20266269,0.008200,0.168896,0.174300,0.000000000,131072
confirmatory,paged,qwen2.5-0.5b,256,1,fragmented,19,1,20266269,0.008400,0.189440,0.196100,0.000000000,131072
