scenario,seed,policy,eviction_penalty,requests,prefill_tokens_total,prefill_tokens_p95,cache_hit_ratio,evicted_tokens_total
high-revisit-long,0,LRU,0.0,1000.0,401947.0,944.049999999999,0.11750383124097079,400422.0
high-revisit-long,0,upstream-LCP,0.0,1000.0,296354.0,862.1499999999999,0.3493389188216025,294829.0
high-revisit-long,0,cost-aware-0.25,0.25,1000.0,354889.0,850.3499999999997,0.22082219089899136,350058.0
high-revisit-long,0,cost-aware-0.5,0.5,1000.0,354889.0,850.3499999999997,0.22082219089899136,350058.0
high-revisit-long,0,cost-aware-1.0,1.0,1000.0,354889.0,850.3499999999997,0.22082219089899136,350058.0
high-revisit-long,1,LRU,0.0,1000.0,452155.0,1143.3499999999997,0.11482223227167991,450433.0
high-revisit-long,1,upstream-LCP,0.0,1000.0,331252.0,983.3999999999996,0.35151241075396383,329530.0
high-revisit-long,1,cost-aware-0.25,0.25,1000.0,390740.0,965.5499999999995,0.2350535525159209,384603.0
high-revisit-long,1,cost-aware-0.5,0.5,1000.0,390740.0,965.5499999999995,0.2350535525159209,384603.0
high-revisit-long,1,cost-aware-1.0,1.0,1000.0,390740.0,965.5499999999995,0.2350535525159209,384603.0
high-revisit-long,2,LRU,0.0,1000.0,395741.0,966.2499999999998,0.11770318927174023,394488.0
high-revisit-long,2,upstream-LCP,0.0,1000.0,289868.0,854.0,0.3537449697348033,288355.0
high-revisit-long,2,cost-aware-0.25,0.25,1000.0,350153.0,881.0,0.21934074263992775,345050.0
high-revisit-long,2,cost-aware-0.5,0.5,1000.0,350153.0,881.0,0.21934074263992775,345050.0
high-revisit-long,2,cost-aware-1.0,1.0,1000.0,350153.0,881.0,0.21934074263992775,345050.0
high-revisit-long,3,LRU,0.0,1000.0,456044.0,1088.05,0.10810800239379491,453252.0
high-revisit-long,3,upstream-LCP,0.0,1000.0,313488.0,925.05,0.386906880595789,310954.0
high-revisit-long,3,cost-aware-0.25,0.25,1000.0,393745.0,983.2999999999997,0.22994707835766895,387756.0
high-revisit-long,3,cost-aware-0.5,0.5,1000.0,393745.0,983.2999999999997,0.22994707835766895,387756.0
high-revisit-long,3,cost-aware-1.0,1.0,1000.0,393745.0,983.2999999999997,0.22994707835766895,387756.0
high-revisit-long,4,LRU,0.0,1000.0,468927.0,1163.05,0.12046943108583603,466916.0
high-revisit-long,4,upstream-LCP,0.0,1000.0,325865.0,955.0,0.38879990096707157,324240.0
high-revisit-long,4,cost-aware-0.25,0.25,1000.0,370337.0,946.2499999999998,0.3053871662327724,362574.0
high-revisit-long,4,cost-aware-0.5,0.5,1000.0,370337.0,946.2499999999998,0.3053871662327724,362574.0
high-revisit-long,4,cost-aware-1.0,1.0,1000.0,370337.0,946.2499999999998,0.3053871662327724,362574.0
high-revisit-long,5,LRU,0.0,1000.0,428793.0,1059.4499999999996,0.12734144137543654,427563.0
high-revisit-long,5,upstream-LCP,0.0,1000.0,318119.0,952.0999999999999,0.35257975757279736,316889.0
high-revisit-long,5,cost-aware-0.25,0.25,1000.0,390719.0,990.1999999999998,0.20482778551135208,385739.0
high-revisit-long,5,cost-aware-0.5,0.5,1000.0,390719.0,990.1999999999998,0.20482778551135208,385739.0
high-revisit-long,5,cost-aware-1.0,1.0,1000.0,390719.0,990.1999999999998,0.20482778551135208,385739.0
high-revisit-long,6,LRU,0.0,1000.0,385369.0,881.05,0.11872550230284071,384238.0
high-revisit-long,6,upstream-LCP,0.0,1000.0,287515.0,826.05,0.34250124632391615,286384.0
high-revisit-long,6,cost-aware-0.25,0.25,1000.0,362248.0,848.05,0.17159936517519428,358357.0
high-revisit-long,6,cost-aware-0.5,0.5,1000.0,362248.0,848.05,0.17159936517519428,358357.0
high-revisit-long,6,cost-aware-1.0,1.0,1000.0,362248.0,848.05,0.17159936517519428,358357.0
high-revisit-long,7,LRU,0.0,1000.0,518551.0,1443.2999999999997,0.16498768135778813,516486.0
high-revisit-long,7,upstream-LCP,0.0,1000.0,313493.0,958.099999999999,0.4951884832772419,311428.0
high-revisit-long,7,cost-aware-0.25,0.25,1000.0,382672.0,1033.0,0.38379092124120384,372926.0
high-revisit-long,7,cost-aware-0.5,0.5,1000.0,382672.0,1033.0,0.38379092124120384,372926.0
high-revisit-long,7,cost-aware-1.0,1.0,1000.0,382672.0,1033.0,0.38379092124120384,372926.0
high-revisit-long,8,LRU,0.0,1000.0,442272.0,1041.5999999999995,0.0925911108101953,440689.0
high-revisit-long,8,upstream-LCP,0.0,1000.0,321932.0,928.1499999999999,0.33949253284256703,320349.0
high-revisit-long,8,cost-aware-0.25,0.25,1000.0,401128.0,977.0,0.17700620228518202,396272.0
high-revisit-long,8,cost-aware-0.5,0.5,1000.0,401128.0,977.0,0.17700620228518202,396272.0
high-revisit-long,8,cost-aware-1.0,1.0,1000.0,401128.0,977.0,0.17700620228518202,396272.0
high-revisit-long,9,LRU,0.0,1000.0,506655.0,1196.999999999999,0.12506152052842895,504637.0
high-revisit-long,9,upstream-LCP,0.0,1000.0,348578.0,1015.0999999999999,0.3980434313344558,346546.0
high-revisit-long,9,cost-aware-0.25,0.25,1000.0,415368.0,1024.2499999999998,0.2827043129128351,408175.0
high-revisit-long,9,cost-aware-0.5,0.5,1000.0,415368.0,1024.2499999999998,0.2827043129128351,408175.0
high-revisit-long,9,cost-aware-1.0,1.0,1000.0,415368.0,1024.2499999999998,0.2827043129128351,408175.0
high-revisit-long,10,LRU,0.0,1000.0,431471.0,985.05,0.11735741755993781,429769.0
high-revisit-long,10,upstream-LCP,0.0,1000.0,338965.0,929.05,0.3065931593159316,337263.0
high-revisit-long,10,cost-aware-0.25,0.25,1000.0,401416.0,955.0,0.17883970215203338,396294.0
high-revisit-long,10,cost-aware-0.5,0.5,1000.0,401416.0,955.0,0.17883970215203338,396294.0
high-revisit-long,10,cost-aware-1.0,1.0,1000.0,401416.0,955.0,0.17883970215203338,396294.0
