scenario,policy,seeds,prefill_tokens_total_median,prefill_tokens_p95_median,cache_hit_ratio_median,evicted_tokens_total_median
high-revisit-long,LRU,20,436871.5,1050.5249999999996,0.11961567960130315,435229.0
high-revisit-long,upstream-LCP,20,315806.0,928.5999999999999,0.358491346051686,314112.0
high-revisit-long,cost-aware-0.25,20,379247.5,959.6499999999999,0.22538463462833014,369935.0
high-revisit-long,cost-aware-0.5,20,379247.5,959.6499999999999,0.22538463462833014,369935.0
high-revisit-long,cost-aware-1.0,20,379247.5,959.6499999999999,0.22538463462833014,369935.0
mixed,LRU,20,97506.0,217.0,0.1963046497767832,96944.0
mixed,upstream-LCP,20,85116.0,197.57499999999993,0.2892155494060819,84734.5
mixed,cost-aware-0.25,20,93505.5,207.57499999999993,0.21669305142636303,92281.0
mixed,cost-aware-0.5,20,93505.5,207.57499999999993,0.21669305142636303,92281.0
mixed,cost-aware-1.0,20,93505.5,207.57499999999993,0.21669305142636303,92281.0
one-shot,LRU,20,35266.0,65.04999999999995,0.3612445568012298,35031.0
one-shot,upstream-LCP,20,35082.5,64.02499999999998,0.3642533089941178,34879.0
one-shot,cost-aware-0.25,20,35249.5,64.52499999999998,0.36232306481726106,34828.5
one-shot,cost-aware-0.5,20,35249.5,64.52499999999998,0.36232306481726106,34828.5
one-shot,cost-aware-1.0,20,35249.5,64.52499999999998,0.36232306481726106,34828.5
cache-pressure,LRU,20,348858.0,795.5749999999999,0.08759652750998867,347484.5
cache-pressure,upstream-LCP,20,310652.5,763.8749999999997,0.18056676440823288,308966.0
cache-pressure,cost-aware-0.25,20,320402.5,737.3499999999997,0.1606605999197494,315527.0
cache-pressure,cost-aware-0.5,20,320402.5,737.3499999999997,0.1606605999197494,315527.0
cache-pressure,cost-aware-1.0,20,320402.5,737.3499999999997,0.1606605999197494,315527.0
